code,name,ticker
8360,(株)山梨中央銀行,8360.T
7976,三菱鉛筆(株),7976.T
5715,古河機械金属(株),5715.T
4819,(株)デジタルガレージ,4819.T
7595,(株)アルゴグラフィックス,7595.T
3201,ニッケ,3201.T
6332,月島ホールディングス(株),6332.T
8421,信金中央金庫,8421.T
7611,(株)ハイデイ日高,7611.T
3046,(株)ジンズホールディングス,3046.T
4975,(株)ＪＣＵ,4975.T
7821,前田工繊(株),7821.T
7599,(株)ＩＤＯＭ,7599.T
1871,ピーエス・コンストラクション(株),1871.T
4917,(株)マンダム,4917.T
9832,(株)オートバックスセブン,9832.T
8958,グローバル・ワン不動産投資法人,8958.T
9037,(株)ハマキョウレックス,9037.T
2695,くら寿司(株),2695.T
3433,トーカロ(株),3433.T
1965,(株)テクノ菱和,1965.T
8097,三愛オブリ(株),8097.T
8346,(株)東邦銀行,8346.T
2281,プリマハム(株),2281.T
7972,(株)イトーキ,7972.T
7222,日産車体(株),7222.T
8179,ロイヤルホールディングス(株),8179.T
7456,松田産業(株),7456.T
8153,(株)モスフードサービス,8153.T
2685,(株)アンドエスティＨＤ,2685.T
3191,(株)ジョイフル本田,3191.T
7172,(株)ジャパンインベストメントアドバイザー,7172.T
6101,(株)ツガミ,6101.T
1762,(株)高松コンストラクショングループ,1762.T
7516,コーナン商事(株),7516.T
7552,(株)ハピネット,7552.T
6486,イーグル工業(株),6486.T
9090,ＡＺ－ＣＯＭ丸和ホールディングス(株),9090.T
6395,(株)タダノ,6395.T
8051,(株)山善,8051.T
3543,(株)コメダホールディングス,3543.T
1968,太平電業(株),1968.T
6966,(株)三井ハイテック,6966.T
6523,ＰＨＣホールディングス(株),6523.T
3106,クラボウ,3106.T
1720,東急建設(株),1720.T
6804,ホシデン(株),6804.T
9110,ＮＳユナイテッド海運(株),9110.T
9708,(株)帝国ホテル,9708.T
7283,愛三工業(株),7283.T
5930,文化シヤッター(株),5930.T
7685,(株)ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,7685.T
4914,高砂香料工業(株),4914.T
8600,トモニホールディングス(株),8600.T
6315,ＴＯＷＡ(株),6315.T
9882,(株)イエローハット,9882.T
3002,グンゼ(株),3002.T
3287,星野リゾート・リート投資法人,3287.T
6498,(株)キッツ,6498.T
8975,いちごオフィスリート投資法人,8975.T
3167,(株)ＴＯＫＡＩホールディングス,3167.T
3593,(株)ホギメディカル,3593.T
7630,(株)壱番屋,7630.T
7734,理研計器(株),7734.T
5352,黒崎播磨(株),5352.T
2384,ＳＢＳホールディングス(株),2384.T
9551,メタウォーター(株),9551.T
9678,(株)カナモト,9678.T
2692,伊藤忠食品(株),2692.T
9119,飯野海運(株),9119.T
5703,日本軽金属ホールディングス(株),5703.T
7157,ライフネット生命保険(株),7157.T
7739,キヤノン電子(株),7739.T
9722,藤田観光(株),9722.T
8276,(株)平和堂,8276.T
8214,(株)ＡＯＫＩホールディングス,8214.T
6516,山洋電気(株),6516.T
9716,(株)乃村工藝社,9716.T
7545,(株)西松屋チェーン,7545.T
4928,(株)ノエビアホールディングス,4928.T
1926,ライト工業(株),1926.T
5423,東京製鐵(株),5423.T
9960,東テク(株),9960.T
4776,サイボウズ(株),4776.T
3880,大王製紙(株),3880.T
7730,マニー(株),7730.T
5331,ノリタケ(株),5331.T
4694,(株)ビー・エム・エル,4694.T
1952,新日本空調(株),1952.T
9830,トラスコ中山(株),9830.T
9974,(株)ベルク,9974.T
6875,(株)メガチップス,6875.T
3076,あい　ホールディングス(株),3076.T
9267,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ(株),9267.T
8336,(株)武蔵野銀行,8336.T
6670,(株)ＭＣＪ,6670.T
6588,東芝テック(株),6588.T
6055,ジャパンマテリアル(株),6055.T
1515,日鉄鉱業(株),1515.T
9601,松竹(株),9601.T
7004,カナデビア(株),7004.T
7970,信越ポリマー(株),7970.T
6278,ユニオンツール(株),6278.T
8968,福岡リート投資法人,8968.T
1835,東鉄工業(株),1835.T
9793,(株)ダイセキ,9793.T
167A,リョーサン菱洋ホールディングス(株),167A.T
290A,(株)Ｓｙｎｓｐｅｃｔｉｖｅ,290A.T
7381,(株)ＣＣＩグループ,7381.T
