code,company_name
5929,三和ホールディングス(株)
8953,日本都市ファンド投資法人
3563,(株)ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ
3099,(株)三越伊勢丹ホールディングス
3231,野村不動産ホールディングス(株)
2702,日本マクドナルドホールディングス(株)
2897,日清食品ホールディングス(株)
4676,(株)フジ・メディア・ホールディングス
3861,王子ホールディングス(株)
4732,(株)ユー・エス・エス
6963,ローム(株)
8359,(株)八十二銀行
6645,オムロン(株)
2267,(株)ヤクルト本社
8227,(株)しまむら
6448,ブラザー工業(株)
2327,日鉄ソリューションズ(株)
6269,三井海洋開発(株)
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス(株)
5830,(株)いよぎんホールディングス
3462,野村不動産マスターファンド投資法人
7747,朝日インテック(株)
7752,(株)リコー
9064,ヤマトホールディングス(株)
5406,(株)神戸製鋼所
3197,(株)すかいらーくホールディングス
9508,九州電力(株)
4403,日油(株)
4183,三井化学(株)
3283,日本プロロジスリート投資法人
8253,(株)クレディセゾン
8060,キヤノンマーケティングジャパン(株)
6845,アズビル(株)
6465,ホシザキ(株)
4042,東ソー(株)
6724,セイコーエプソン(株)
7261,マツダ(株)
8572,アコム(株)
4005,住友化学(株)
6370,栗田工業(株)
8804,東京建物(株)
2212,山崎製パン(株)
4021,日産化学(株)
3769,ＧＭＯペイメントゲートウェイ(株)
8972,KDX不動産投資法人
4186,東京応化工業(株)
7276,(株)小糸製作所
5332,ＴＯＴＯ(株)
3281,ＧＬＰ投資法人
9962,(株)ミスミグループ本社
7649,スギホールディングス(株)
3291,飯田グループホールディングス(株)
5021,コスモエネルギーホールディングス(株)
8334,(株)群馬銀行
5105,ＴＯＹＯ　ＴＩＲＥ(株)
2282,日本ハム(株)
2670,(株)エービーシー・マート
4751,(株)サイバーエージェント
2181,パーソルホールディングス(株)
6417,(株)ＳＡＮＫＹＯ
5444,大和工業(株)
3635,(株)コーエーテクモホールディングス
6856,(株)堀場製作所
8984,大和ハウスリート投資法人
4733,(株)オービックビジネスコンサルタント
5110,住友ゴム工業(株)
5801,古河電気工業(株)
9009,京成電鉄(株)
2501,サッポロホールディングス(株)
2331,ＡＬＳＯＫ(株)
9142,九州旅客鉄道(株)
9007,小田急電鉄(株)
3349,(株)コスモス薬品
1969,高砂熱学工業(株)
9412,(株)スカパーＪＳＡＴホールディングス
6113,(株)アマダ
2809,キユーピー(株)
4527,ロート製薬(株)
6806,ヒロセ電機(株)
4182,三菱ガス化学(株)
7459,(株)メディパルホールディングス
3086,Ｊ．フロント　リテイリング(株)
5991,ニッパツ
7731,(株)ニコン
8954,オリックス不動産投資法人
5901,東洋製罐グループホールディングス(株)
8960,ユナイテッド・アーバン投資法人
1721,コムシスホールディングス(株)
5631,(株)日本製鋼所
4626,太陽ホールディングス(株)
8252,(株)丸井グループ
5947,リンナイ(株)
8341,(株)七十七銀行
6368,オルガノ(株)
5076,インフロニア・ホールディングス(株)
9041,近鉄グループホールディングス(株)
9506,東北電力(株)
9513,Ｊ－ＰＯＷＥＲ
8377,(株)ほくほくフィナンシャルグループ
8056,ＢＩＰＲＯＧＹ(株)
7951,ヤマハ(株)
4816,東映アニメーション(株)
2002,(株)日清製粉グループ本社
7211,三菱自動車(株)
6460,セガサミーホールディングス(株)
6473,(株)ジェイテクト
5214,日本電気硝子(株)
6965,浜松ホトニクス(株)
7003,(株)三井Ｅ＆Ｓ
1959,(株)クラフティア
9364,(株)上組
5938,(株)ＬＩＸＩＬ
5344,(株)ＭＡＲＵＷＡ
7564,(株)ワークマン
8233,(株)高島屋
4536,参天製薬(株)
2579,コカ・コーラ　ボトラーズジャパンホールディングス(株)
6302,住友重機械工業(株)
9989,(株)サンドラッグ
3774,(株)インターネットイニシアティブ
9001,東武鉄道(株)
1951,エクシオグループ(株)
4980,デクセリアルズ(株)
7282,豊田合成(株)
4812,(株)電通総研
8963,インヴィンシブル投資法人
