rank,code,company_name,market_cap,scrape_date
120,7012,川崎重工業(株),1795924,2025-12-07
121,8697,(株)日本取引所グループ,1792211,2025-12-07
122,4062,イビデン(株),1789633,2025-12-07
123,9719,ＳＣＳＫ(株),1781683,2025-12-07
124,6361,荏原,1766510,2025-12-07
125,9502,中部電力(株),1716112,2025-12-07
126,4716,日本オラクル(株),1689214,2025-12-07
127,8113,ユニ・チャーム(株),1681840,2025-12-07
128,7202,いすゞ自動車(株),1662160,2025-12-07
129,5016,ＪＸ金属(株),1649879,2025-12-07
130,7453,(株)良品計画,1641159,2025-12-07
131,7181,(株)かんぽ生命保険,1628955,2025-12-07
132,6504,富士電機(株),1625098,2025-12-07
133,5713,住友金属鉱山(株),1599186,2025-12-07
134,9104,(株)商船三井,1598431,2025-12-07
135,9024,(株)西武ホールディングス,1594996,2025-12-07
136,9843,(株)ニトリホールディングス,1574743,2025-12-07
137,2413,エムスリー(株),1513746,2025-12-07
138,9602,東宝(株),1507616,2025-12-07
139,2587,サントリー食品インターナショナル(株),1484745,2025-12-07
140,5019,出光興産(株),1482704,2025-12-07
141,7550,(株)ゼンショーホールディングス,1477781,2025-12-07
142,3402,東レ(株),1467321,2025-12-07
143,7186,(株)横浜フィナンシャルグループ,1439355,2025-12-07
144,7309,(株)シマノ,1434667,2025-12-07
145,6479,ミネベアミツミ(株),1400397,2025-12-07
146,9202,ＡＮＡホールディングス(株),1394523,2025-12-07
147,9021,西日本旅客鉄道(株),1383540,2025-12-07
148,7201,日産自動車(株),1376408,2025-12-07
149,8136,(株)サンリオ,1373841,2025-12-07
150,5831,(株)しずおかフィナンシャルグループ,1370555,2025-12-07
151,3391,(株)ツルハホールディングス,1366696,2025-12-07
152,8331,(株)千葉銀行,1363344,2025-12-07
153,7911,ＴＯＰＰＡＮホールディングス(株),1361543,2025-12-07
154,4523,エーザイ(株),1361418,2025-12-07
155,2801,キッコーマン(株),1350397,2025-12-07
156,4151,協和キリン(株),1336689,2025-12-07
157,9107,川崎汽船(株),1330117,2025-12-07
158,7912,大日本印刷(株),1328247,2025-12-07
159,5838,楽天銀行(株),1316418,2025-12-07
160,6841,横河電機(株),1312768,2025-12-07
161,7701,(株)島津製作所,1305374,2025-12-07
162,7735,(株)ＳＣＲＥＥＮホールディングス,1298599,2025-12-07
163,5334,日本特殊陶業(株),1298298,2025-12-07
164,1944,(株)きんでん,1286905,2025-12-07
165,3003,ヒューリック(株),1284326,2025-12-07
166,6506,(株)安川電機,1279048,2025-12-07
167,6586,(株)マキタ,1245798,2025-12-07
168,5411,ＪＦＥホールディングス(株),1238272,2025-12-07
169,9201,日本航空(株),1237116,2025-12-07
170,8951,日本ビルファンド投資法人,1228300,2025-12-07
171,4188,三菱ケミカルグループ(株),1224671,2025-12-07
172,3626,ＴＩＳ(株),1213767,2025-12-07
173,4768,(株)大塚商会,1200053,2025-12-07
174,2875,東洋水産(株),1174785,2025-12-07
175,3092,(株)ＺＯＺＯ,1164994,2025-12-07
176,3088,(株)マツキヨココカラ＆カンパニー,1161901,2025-12-07
177,7272,ヤマハ発動機(株),1159135,2025-12-07
